Cultivo;Ciclo del cultivo;Nombre científico
Fríjol;Transitorio;Phaseolus Vulgaris
Mora;Permanente;Rubus Glaucus
Lulo;Permanente;Solanum Quitoense
Tomate de árbol;Permanente;Solamun Betaceum
Mango;Permanente;Mangifera Indica
Fríjol;Transitorio;Phaseolus Vulgaris
Plátano;Permanente;Musa Spp.
Papa;Transitorio;Solanum Tuberosum
Papa;Transitorio;Solanum Tuberosum
Maíz;Transitorio;Zea Mays
Maíz;Transitorio;Zea Mays
Cacao;Permanente;Theobroma Cacao
Café;Permanente;Coffea Arabica
Caña panelera;Permanente;Saccharum Officinarum
Aguacate;Permanente;Persea Americana Mill.
Banano;Permanente;Musa Paradisiaca
Limón;Permanente;Citrus Limon
Cilantro;Transitorio;Coriandrum Sativum
Arveja;Transitorio;Pisum Sativum
Arveja;Transitorio;Pisum Sativum
Cebolla de bulbo;Transitorio;Allium Cepa
Fríjol;Transitorio;Phaseolus Vulgaris
Cilantro;Transitorio;Coriandrum Sativum
Tomate;Transitorio;Lycopersicum Esculetum
Tomate;Transitorio;Lycopersicum Esculetum
Yuca;Transitorio;Manihot Esculenta
Yuca;Transitorio;Manihot Esculenta
Arracacha;Transitorio;Arracacia Xanthorrhiza
Fríjol;Transitorio;Phaseolus Vulgaris
Plátano;Permanente;Musa Spp.
Cebolla de bulbo;Transitorio;Allium Cepa
Arracacha;Transitorio;Arracacia Xanthorrhiza
Café;Permanente;Coffea Arabica
Cítricos;Permanente;Citrus Spp.
Durazno;Permanente;Prunus Persica
Aguacate;Permanente;Persea Americana Mill.
Pimentón;Transitorio;Capsicum Annum
Cacao;Permanente;Theobroma Cacao
Maíz;Transitorio;Zea Mays
Maíz;Transitorio;Zea Mays
Caña panelera;Permanente;Saccharum Officinarum
Pepino cohombro;Transitorio;Cucumis Sativus
Guanábana;Permanente;Annona Muricata
Pimentón;Transitorio;Capsicum Annum
Pepino cohombro;Transitorio;Cucumis Sativus
Ají;Transitorio;Capsicum Annum
Mango;Permanente;Mangifera Indica
Tomate de árbol;Permanente;Solamun Betaceum
Ají;Transitorio;Capsicum Annum
Arveja;Transitorio;Pisum Sativum
Zanahoria;Transitorio;Umbelliferae
Cebolla de rama;Transitorio;Allium Fistulosum
Lechuga;Transitorio;Lactuca Sativa
Repollo;Transitorio;Brassica Oleracea Var. Capitata
Cebolla de bulbo;Transitorio;Allium Cepa
Fríjol;Transitorio;Phaseolus Vulgaris
Fríjol;Transitorio;Phaseolus Vulgaris
Habichuela;Transitorio;Judiaphaseolus Vulgaris
Cilantro;Transitorio;Coriandrum Sativum
Papa;Transitorio;Solanum Tuberosum
Caña panelera;Permanente;Saccharum Officinarum
Maíz;Transitorio;Zea Mays
Maíz;Transitorio;Zea Mays
Aguacate;Permanente;Persea Americana Mill.
Granadilla;Permanente;Passiflora Ligularis
Ají;Transitorio;Capsicum Annum
Lulo;Permanente;Solanum Quitoense
Tomate de árbol;Permanente;Solamun Betaceum
Ahuyama;Transitorio;Cucurbita Moshata
Café;Permanente;Coffea Arabica
Pepino cohombro;Transitorio;Cucumis Sativus
Tomate;Transitorio;Lycopersicum Esculetum
Arroz;Transitorio;Oryza Sativa
Cacao;Permanente;Theobroma Cacao
Café;Permanente;Coffea Arabica
Cítricos;Permanente;Citrus Spp.
Mangostino;Permanente;Pouteria Campechiana (Hbk)
Yuca;Transitorio;Manihot Esculenta
Arroz;Transitorio;Oryza Sativa
Maracuyá;Permanente;Passiflora Edulis
Plátano;Permanente;Musa Spp.
Plantas aromáticas;Transitorio;0
Palma de aceite;Permanente;Elaeis Guineensis
Patilla;Transitorio;Citrullus Vulgaris
Piña;Permanente;Ananas Sativus
Arroz;Transitorio;Oryza Sativa
Maíz;Transitorio;Zea Mays
Maíz;Transitorio;Zea Mays
Cacao;Permanente;Theobroma Cacao
Arroz;Transitorio;Oryza Sativa
Coco;Permanente;Cocos Nucifera
Ají;Transitorio;Capsicum Annum
Ají;Transitorio;Capsicum Annum
Plátano;Permanente;Musa Spp.
Ñame;Transitorio;Dioscorea Villosa
Yuca;Transitorio;Manihot Esculenta
Cebolla de rama;Transitorio;Allium Fistulosum
Tomate de árbol;Permanente;Solamun Betaceum
Ahuyama;Transitorio;Cucurbita Moshata
Ahuyama;Transitorio;Cucurbita Moshata
Tomate;Transitorio;Lycopersicum Esculetum
Tomate;Transitorio;Lycopersicum Esculetum
Hortalizas varias;Transitorio;0
Hortalizas varias;Transitorio;0
Lulo;Permanente;Solanum Quitoense
Yuca;Transitorio;Manihot Esculenta
Arracacha;Transitorio;Arracacia Xanthorrhiza
Fríjol;Transitorio;Phaseolus Vulgaris
Arveja;Transitorio;Pisum Sativum
Arveja;Transitorio;Pisum Sativum
Plátano;Permanente;Musa Spp.
Café;Permanente;Coffea Arabica
Fríjol;Transitorio;Phaseolus Vulgaris
Maíz;Transitorio;Zea Mays
Maíz;Transitorio;Zea Mays
Caña panelera;Permanente;Saccharum Officinarum
Aguacate;Permanente;Persea Americana Mill.
Banano;Permanente;Musa Paradisiaca
Piña;Permanente;Ananas Sativus
Cacao;Permanente;Theobroma Cacao
Durazno;Permanente;Prunus Persica
Granadilla;Permanente;Passiflora Ligularis
Pitahaya;Permanente;Hylocereus Undatus (Haworth) Britt. & Rose.
Mora;Permanente;Rubus Glaucus
Guanábana;Permanente;Annona Muricata
Guayaba;Permanente;Psidium Guajava
Cítricos;Permanente;Citrus Spp.
Aguacate;Permanente;Persea Americana Mill.
Yuca;Transitorio;Manihot Esculenta
Plátano;Permanente;Musa Spp.
Patilla;Transitorio;Citrullus Vulgaris
Patilla;Transitorio;Citrullus Vulgaris
Ahuyama;Transitorio;Cucurbita Moshata
Ahuyama;Transitorio;Cucurbita Moshata
Zapote;Permanente;Pouteria Sapota
Caña panelera;Permanente;Saccharum Officinarum
Cacao;Permanente;Theobroma Cacao
Maíz;Transitorio;Zea Mays
Maíz;Transitorio;Zea Mays
Arroz;Transitorio;Oryza Sativa
Arroz;Transitorio;Oryza Sativa
Mango;Permanente;Mangifera Indica
Yuca;Transitorio;Manihot Esculenta
Tomate;Transitorio;Lycopersicum Esculetum
Tomate;Transitorio;Lycopersicum Esculetum
Hortalizas varias;Transitorio;0
Hortalizas varias;Transitorio;0
Pimentón;Transitorio;Capsicum Annum
Pimentón;Transitorio;Capsicum Annum
Pepino cohombro;Transitorio;Cucumis Sativus
Cebolla de bulbo;Transitorio;Allium Cepa
Pepino cohombro;Transitorio;Cucumis Sativus
Habichuela;Transitorio;Judiaphaseolus Vulgaris
Melón;Transitorio;Cucumis Melo
Yuca;Transitorio;Manihot Esculenta
