codigo;nombre;codigo_departamento
5002;Abejorral;5
54003;Ábrego;54
5004;Abriaquí;5
50006;Acacías;50
27006;Acandí;27
41006;Acevedo;41
13006;Achí;13
41013;Agrado;41
25001;Agua de Dios;25
20011;Aguachica;20
68013;Aguada;68
17013;Aguadas;17
85010;Aguazul;85
20013;Agustín Codazzi;20
41016;Aipe;41
25019;Albán;25
52019;Albán (San José;52
18029;Albania;18
44035;Albania;44
68020;Albania;68
76020;Alcalá;76
52022;Aldana;52
5021;Alejandría;5
47030;Algarrobo;47
41020;Algeciras;41
19022;Almaguer;19
15022;Almeida;15
73024;Alpujarra;73
41026;Altamira;41
27025;Alto Baudó (Pie de Pato;27
13030;Altos del Rosario;13
73026;Alvarado;73
5030;Amagá;5
5031;Amalfi;5
73030;Ambalema;73
25035;Anapoima;25
52036;Ancuya;52
76036;Andalucía;76
5034;Andes;5
5036;Angelópolis;5
5038;Angostura;5
25040;Anolaima;25
5040;Anorí;5
17042;Anserma;17
76041;Ansermanuevo;76
5044;Anzá;5
73043;Anzoátegui;73
5045;Apartadó;5
66045;Apía;66
25599;Apulo;25
15047;Aquitania;15
47053;Aracataca;47
17050;Aranzazu;17
68051;Aratoca;68
81001;Arauca;81
81065;Arauquita;81
25053;Arbeláez;25
52051;Arboleda (Berruecos;52
54051;Arboledas;54
5051;Arboletes;5
15051;Arcabuco;15
13042;Arenal;13
5055;Argelia;5
19050;Argelia;19
76054;Argelia;76
47058;Ariguaní (El Dificil;47
13052;Arjona;13
5059;Armenia;5
63001;Armenia;63
73055;Armero (Guayabal;73
13062;Arroyohondo;13
20032;Astrea;20
73067;Ataco;73
27050;Atrato (Yuto;27
23068;Ayapel;23
27073;Bagadó;27
27075;Bahía Solano (Mutis;27
27077;Bajo Baudó (Pizarro;27
19075;Balboa;19
66075;Balboa;66
8078;Baranoa;8
41078;Baraya;41
52079;Barbacoas;52
5079;Barbosa;5
68077;Barbosa;68
68079;Barichara;68
50110;Barranca de Upía;50
68081;Barrancabermeja;68
44078;Barrancas;44
13074;Barranco de Loba;13
94343;Barranco Mina;94
20045;Becerrill;20
17088;Belalcazar;17
15087;Belén;15
52083;Belén;52
18094;Belén de los Andaquíes;18
66088;Belén de Umbría;66
5088;Bello;5
5086;Belmira;5
25086;Beltrán;25
15090;Berbeo;15
5091;Betania;5
15092;Betéitiva;15
5093;Betulia;5
68092;Betulia;68
25095;Bituima;25
15097;Boavita;15
54099;Bochalema;54
25099;Bojacá;25
27099;Bojayá (Bellavista;27
68101;Bolivar;68
19100;Bolívar;19
76100;Bolívar;76
20060;Bosconia;20
15104;Boyacá;15
5107;Briceño;5
15106;Briceño;15
68001;Bucaramanga;68
54109;Bucarasica;54
76109;Buenaventura;76
15109;Buenavista;15
23079;Buenavista;23
63111;Buenavista;63
70110;Buenavista;70
19110;Buenos Aires;19
52110;Buesaco;52
76111;Buga;76
76113;Bugalagrande;76
5113;Buriticá;5
15114;Busbanzá;15
25120;Cabrera;25
68121;Cabrera;68
50124;Cabuyaro;50
5120;Cáceres;5
25123;Cachipay;25
54128;Cáchira;54
54125;Cácota;54
5125;Caicedo;5
76122;Caicedonia;76
70124;Caimito;70
73124;Cajamarca;73
19130;Cajibío;19
25126;Cajicá;25
13140;Calamar;13
95015;Calamar;95
63130;Calarcá;63
5129;Caldas;5
15131;Caldas;15
19137;Caldono;19
76001;Cali;76
68132;California;68
76126;Calima (El Darién;76
19142;Caloto;19
5134;Campamento;5
8137;Campo de la Cruz;8
41132;Campoalegre;41
15135;Campohermoso;15
23090;Canalete;23
8141;Candelaria;8
76130;Candelaria;76
13160;Cantagallo;13
5138;Cañasgordas;5
25148;Caparrapí;25
68147;Capitanejo;68
25151;Cáqueza;25
5142;Caracolí;5
5145;Caramanta;5
68152;Carcasí;68
5147;Carepa;5
73148;Carmen de Apicalá;73
25154;Carmen de Carupa;25
5148;Carmen de Viboral;5
27150;Carmen del Darién  (Curbaradó;27
5150;Carolina;5
13001;Cartagena de Indias;13
18150;Cartagena del Chairá;18
76147;Cartago;76
97161;Carurú;97
73152;Casabianca;73
50150;Castilla la Nueva;50
5154;Caucasia;5
68160;Cepitá;68
23162;Cereté;23
15162;Cerinza;15
68162;Cerrito;68
47161;Cerro de San Antonio;47
27160;Cértegui;27
52240;Chachaguí;52
25168;Chaguaní;25
70230;Chalán;70
85015;Chámeza;85
73168;Chaparral;73
68167;Charalá;68
68169;Charta;68
25175;Chía;25
5172;Chigorodó;5
23168;Chima;23
68176;Chima;68
20175;Chimichagua;20
54172;Chinácota;54
15172;Chinavita;15
