Código del Municipio;Producción (t);Area Sembrada (ha);Area Cosechada (ha);Estado físico de la producción
5002;157.5;110;105;Grano Seco
5002;48;6;6;Fruto Fresco
5002;25;5;5;Fruto Fresco
5002;125;5;5;Fruto Fresco
5002;120;20;20;Fruto Fresco
5002;165;115;110;Grano Seco
5002;9180;2036.5;2036;Fruto Fresco
5002;900;95;90;Tubérculo Fresco
5002;750;80;75;Tubérculo Fresco
5002;200;105;100;Grano Seco
5002;150;80;75;Grano Seco
5002;2;5;5;Grano Seco
5002;3093.58;2978;2326;Café Verde Equivalente
5002;1183;215.1;215;Panela
5002;9614;807;506;Fruto Fresco
5002;300;21;20;Fruto Fresco
5002;192;38;24;Fruto Fresco
54003;250;25;25;Hortaliza Fresca
54003;224.3;80;80;Grano Seco
54003;224.3;80;80;Grano Seco
54003;13000;650;650;Hortaliza Fresca
54003;1819.5;775;775;Grano Seco
54003;250;25;25;Hortaliza Fresca
54003;10350;230;230;Hortaliza Fresca
54003;10350;230;230;Hortaliza Fresca
54003;2600;240;200;Tubérculo Fresco
54003;2600;240;200;Tubérculo Fresco
54003;169.59;13.05;13.05;Tubérculo Fresco
54003;1752;730;730;Grano Seco
54003;3045;427;425;Fruto Fresco
54003;13000;650;650;Hortaliza Fresca
54003;90.41;6.95;6.95;Tubérculo Fresco
54003;314.12;316.46;237.09;Café Verde Equivalente
54003;255;21;19;Fruto Fresco
54003;900;60;60;Fruto Fresco
54003;885;67;67;Fruto Fresco
54003;1125;75;75;Hortaliza Fresca
54003;17.15;50;49;Grano Seco
54003;1546.53;490;490;Grano Seco
54003;1546.53;490;490;Grano Seco
54003;200;40;40;Panela
54003;800;40;40;Hortaliza Fresca
54003;24;3;2;Fruto Fresco
54003;1125;75;75;Hortaliza Fresca
54003;800;40;40;Hortaliza Fresca
54003;96;12;12;Hortaliza Fresca
54003;36;4;3;Fruto Fresco
54003;96;6;6;Fruto Fresco
54003;96;12;12;Hortaliza Fresca
5004;0.98;1.5;1;Grano Seco
5004;24;2;2;Hortaliza Fresca
5004;13;2.5;2;Hortaliza Fresca
5004;6;1;1;Hortaliza Fresca
5004;8;2;1;Hortaliza Fresca
5004;3;1;1;Hortaliza Fresca
5004;81.4;70;65;Grano Seco
5004;51;49;44;Grano Seco
5004;4;1;1;Leguminosa Fresca
5004;8;2;2;Hortaliza Fresca
5004;2.5;0.5;0.5;Tubérculo Fresco
5004;47.52;132;132;Panela
5004;24;26;24;Grano Seco
5004;10;16;14;Grano Seco
5004;180;90;36;Fruto Fresco
5004;18;4;4;Fruto Fresco
5004;6;1;1;Hortaliza Fresca
5004;25.5;14.5;8.5;Fruto Fresco
5004;684;45;38;Fruto Fresco
5004;16;2;2;Hortaliza Fresca
5004;122;113;93;Café Verde Equivalente
5004;10;1;1;Hortaliza Fresca
5004;648;7;6;Hortaliza Fresca
50006;2373.1;452;445;Paddy Verde
50006;319;432;390;Grano Seco
50006;70;63;59;Café Verde Equivalente
50006;1263;81.5;81.5;Fruto Fresco
50006;427.88;30.56;30.56;Fruto Fresco
50006;192;21;10;Tubérculo Fresco
50006;91.2;16.2;16.2;Paddy Verde
50006;277;19;19;Fruto Fresco
50006;691;25;25;Fruto Fresco
50006;1;1;1;Hoja Fresca
50006;36279;9700;9700;Aceite Crudo
50006;1064;41;41;Fruto Fresco
50006;0;26;0;Fruto Fresco
27006;237.6;120;120;Paddy Verde
27006;700;350;350;Grano Seco
27006;700;350;350;Grano Seco
27006;80;104;100;Grano Seco
27006;237.6;120;120;Paddy Verde
27006;240;100;80;Fruto Fresco
27006;70;10;10;Hortaliza Fresca
27006;70;10;10;Hortaliza Fresca
27006;630;103;70;Fruto Fresco
27006;600;30;30;Tubérculo Fresco
27006;800;60;40;Tubérculo Fresco
41006;176;25;22;Hortaliza Fresca
41006;72;13;9;Fruto Fresco
41006;112;10;8;Hortaliza Fresca
41006;84;6;6;Hortaliza Fresca
41006;418;19;19;Hortaliza Fresca
41006;360;20;20;Hortaliza Fresca
41006;25;5;5;Hortaliza Fresca
41006;75;15;15;Hortaliza Fresca
41006;525.7;110.5;75.1;Fruto Fresco
41006;3360;560;480;Tubérculo Fresco
41006;70;73;70;Tubérculo Fresco
41006;114;126;120;Grano Seco
41006;9.35;5;5;Grano Seco
41006;14.95;8;8;Grano Seco
41006;6467.5;2732;1613.5;Fruto Fresco
41006;15301.51;13985.8;10700.36;Café Verde Equivalente
41006;125;110;110;Grano Seco
41006;2297.2;733;725;Grano Seco
41006;2769.2;950;950;Grano Seco
41006;441.35;261.8;63.05;Panela
41006;270;42;30;Fruto Fresco
41006;195.5;28;19.55;Fruto Fresco
41006;63;3.5;3.5;Fruto Fresco
41006;6.48;13;10.8;Grano Seco
41006;20;4;4;Fruto Fresco
41006;312;28;26;Fruto Fresco
41006;510;91;51;Fruto Fresco
41006;133;19;19;Fruto Fresco
41006;45;9;4.5;Fruto Fresco
41006;99;11;11;Fruto Fresco
41006;122.4;13;10.2;Fruto Fresco
13006;400;80;80;Fruto Fresco
13006;3000;250;250;Tubérculo Fresco
13006;800;400;400;Fruto Fresco
13006;600;45;40;Fruto Fresco
13006;675;45;45;Fruto Fresco
13006;800;60;40;Hortaliza Fresca
